,PartiiOptimala
Albania,c3
Austria,c3
Tyrol,c3
Belarus,c3
Belgium,c2
Bosnia-Herzegovina,c1
Bosniaks,c1
Bosnian Croats,c1
Bosnian Serbs,c3
Bulgaria,c3
Croatia,c3
Czech Republic,c3
Cyprus,c3
Denmark,c3
Greenland,c3
England,c2
Estonia,c3
Finland,c3
France,c2
Alsace,c2
Auvergne,c2
Brittany,c2
Corsica,c2
Flanders-Artois,c2
Ile-de-France,c2
Midi-Pyrenees,c2
Normandy,c2
Poitou-Saintonge,c2
Provence,c2
Rhone-Alpes,c2
Germany,c3
North Germany,c3
East Germany,c3
West Germany,c3
South Germany,c3
Greece,c3
North Greece,c3
Central Greece,c3
South Greece,c3
Crete,c3
Aegean Islands,c3
Hungary,c3
Iceland,c3
Ireland,c2
Italy,c3
North Italy,c2
Tuscany,c2
Central Italy,c3
South Italy,c3
Sicily,c3
Sardinia,c3
Kosovo,c3
Latvia,c3
Lithuania,c3
Macedonia,c3
Malta,c3
Moldova,c3
Gagauzes,c3
Montenegro,c3
Netherlands,c3
Norway,c3
Poland,c3
Portugal,c2
Romania,c3
Russia,c3
Bashkirs,c3
Chuvashs,c3
Komis,c3
Maris,c3
Mordvins ,c3
Tatars,c3
Udmurts,c3
Scotland,c2
Serbia,c3
Slovakia,c3
Slovenia,c3
Spain,c2
Andalusia,c2
Aragon,c2
Asturias,c2
Basque country,c2
Cantabria,c2
Castile & Leon,c2
Castile-La-Mancha,c2
Catalonia,c2
Extremadura,c2
Galicia,c2
Valencia,c2
Sweden,c3
Gotland,c3
Switzerland,c3
Turkey-Anatolia,c3
Ukraine,c3
Wales,c2
